#Thorlabs FTS
[SpectrumHeader]
#Date,20250203
#Time,15375844
#GMTTime,23375844
#Instrument,0
#InstrModel,CCS100
#Series,0
#InterferometerSerial,M00997582
#Type,emission
#ChannelIndex,0
#XAxisUnit,nm_air
#YAxisUnit,intensity
#Average,1
#RollingAverage,0
#SpectrumSmooth,0
#SSmoothParam1,0
#SSmoothParam2,0
#SSmoothParam3,0
#SSmoothParam4,0
#IntegrationTime,100.000000
#TriggerMode,0
#AirMeasureOpt,0
#AirTemp,0.00
#AirPressure,0.00
#AirRelHum,0.00
#WnrMin,13448.815430
#WnrMax,31151.394531
#Length,3648
#Resolution,0.0000000000e+00
#ADC,0
#InstrStatus,0
#RefLaserLocked,0
#ChannelIndex,0
#AttenuationFilter,0
#Stitched,0
#ExcitationWavelength_nm,0
#SoftwareVersion,3.350000
#FirmwareVersion,
#Motor_FirmwareVersion,
#ReconstructionAlgorithms_SoftwareVersion,
#Sensor_FirmwareVersion,
#InstrSeriesIdentifier,MUN_CCS_SERIES
#RefGainIndex,0
#RefSignalInPerecent,0.0
#BBRefGainIndex,0
#BBRefSignalInPerecent,0.0
#AutogainStatus,0
#Name,
#Comment,""
#ExtComment,""
#Source,
[Data]
Pixel Number,Measured Signal
3.209201965e+02,-6.633977173e-04
3.210282593e+02,9.705555858e-04
3.211363220e+02,1.103551826e-03
3.212443848e+02,7.758111315e-05
3.213524780e+02,-6.063993205e-04
3.214605713e+02,2.675756987e-04
3.215686340e+02,1.915778557e-04
3.216767578e+02,4.955691402e-04
3.217848511e+02,-8.723917417e-04
3.218929749e+02,-1.504123647e-04
3.220010681e+02,1.369544188e-03
3.221091919e+02,6.855637184e-04
3.222173462e+02,2.528510988e-03
3.223254700e+02,1.445541973e-03
3.224336243e+02,1.915778557e-04
3.225417786e+02,-4.544036638e-04
3.226499329e+02,-2.454096393e-04
3.227580872e+02,9.658057388e-05
3.228662415e+02,5.335680908e-04
3.229744263e+02,1.369544188e-03
3.230826111e+02,-8.533922955e-04
3.231907959e+02,-4.354042176e-04
3.232990112e+02,3.245740663e-04
3.234071960e+02,-1.556372154e-03
3.235154114e+02,-9.341399709e-05
3.236236267e+02,-4.164047714e-04
3.237318420e+02,1.725783950e-04
3.238400879e+02,-7.963938988e-04
3.239483032e+02,3.435735125e-04
3.240565491e+02,6.095659337e-04
3.241647949e+02,7.995604537e-04
3.242730713e+02,-5.494009820e-04
3.243813171e+02,-6.443982711e-04
3.244895935e+02,1.084552379e-03
3.245978699e+02,7.425621152e-04
3.247061462e+02,8.945577429e-04
3.248144226e+02,1.008554478e-03
3.249227295e+02,1.046553371e-03
3.250310059e+02,4.575702478e-04
3.251393127e+02,6.095659337e-04
3.252476501e+02,1.331545296e-03
3.253559570e+02,-4.164047714e-04
3.254642944e+02,2.675756987e-04
3.255726318e+02,-7.583950064e-04
3.256809692e+02,6.855637184e-04
3.257893066e+02,-3.214074823e-04
3.258976440e+02,7.235626690e-04
3.260060120e+02,-7.013966097e-04
3.261143799e+02,-7.203960558e-04
3.262227478e+02,4.955691402e-04
3.263311157e+02,1.160550164e-03
3.264395142e+02,1.179549610e-03
3.265479126e+02,7.045632228e-04
3.266562805e+02,-9.863884188e-04
3.267647095e+02,-9.103906341e-04
3.268731079e+02,3.815724340e-04
3.269815369e+02,6.855637184e-04
3.270899353e+02,-7.773944526e-04
3.271983643e+02,1.407543081e-03
3.273068237e+02,-2.644091146e-04
3.274152527e+02,-7.393955602e-04
3.275237122e+02,2.433513757e-03
3.276321716e+02,-7.963938988e-04
3.277406311e+02,-9.863884188e-04
3.278490906e+02,2.490512095e-03
3.279575500e+02,1.179549610e-03
3.280660400e+02,6.665642723e-04
3.281745300e+02,7.758111315e-05
3.282830200e+02,7.045632228e-04
3.283915100e+02,-4.924025852e-04
3.285000305e+02,2.865751449e-04
3.286085510e+02,-1.504123647e-04
3.287170715e+02,-3.404069284e-04
3.288255920e+02,1.274546958e-03
3.289341125e+02,9.515561396e-04
3.290426636e+02,-5.494009820e-04
3.291512146e+02,2.485762234e-04
3.292597656e+02,7.615615614e-04
3.293683167e+02,7.045632228e-04
3.294768677e+02,1.027553924e-03
3.295854492e+02,-3.784058499e-04
3.296940308e+02,3.435735125e-04
3.298026123e+02,1.155800273e-04
3.299111938e+02,1.065552933e-03
3.300197754e+02,1.155800273e-04
3.301283875e+02,-4.924025852e-04
3.302369995e+02,9.895550320e-04
3.303456116e+02,-2.454096393e-04
3.304542236e+02,3.055745910e-04
3.305628662e+02,2.485762234e-04
3.306715088e+02,1.293546404e-03
3.307801514e+02,4.385708016e-04
3.308887939e+02,5.335680908e-04
3.309974365e+02,-1.613370609e-03
3.311061096e+02,-1.694118255e-04
3.312147827e+02,4.955691402e-04
3.313234558e+02,-3.404069284e-04
3.314321289e+02,4.955691402e-04
3.315408020e+02,-1.741616870e-05
3.316495056e+02,4.575702478e-04
3.317582092e+02,1.008554478e-03
3.318669128e+02,5.858165969e-05
3.319756165e+02,-1.314129040e-04
3.320843201e+02,-3.594064037e-04
3.321930542e+02,-2.264101931e-04
3.323017883e+02,1.122551272e-03
3.324105225e+02,3.625729587e-04
3.325192566e+02,-1.124134506e-04
3.326280212e+02,1.255547395e-03
3.327367554e+02,1.345794881e-04
3.328455200e+02,2.186520724e-03
3.329542847e+02,1.065552933e-03
3.330630798e+02,5.525675369e-04
3.331718445e+02,7.615615614e-04
3.332806396e+02,8.375594043e-04
3.333894348e+02,4.955691402e-04
3.334982300e+02,1.155800273e-04
3.336070251e+02,1.084552379e-03
3.337158508e+02,5.335680908e-04
3.338246765e+02,2.414514311e-03
3.339335022e+02,6.855637184e-04
3.340423279e+02,2.105773165e-04
3.341511536e+02,1.217548503e-03
3.342600098e+02,1.882529468e-03
3.343688660e+02,6.475648261e-04
3.344777222e+02,-2.264101931e-04
3.345865784e+02,-1.537372707e-03
3.346954346e+02,8.755582967e-04
3.348043213e+02,1.027553924e-03
3.349132080e+02,4.575702478e-04
3.350220947e+02,-2.454096393e-04
3.351309814e+02,-6.253987667e-04
3.352398987e+02,2.295767772e-04
3.353487854e+02,3.435735125e-04
3.354577026e+02,-4.924025852e-04
3.355666199e+02,8.945577429e-04
3.356755676e+02,7.615615614e-04
3.357844849e+02,-1.100385212e-03
3.358934326e+02,1.559538767e-03
3.360023804e+02,9.895550320e-04
3.361113281e+02,-3.214074823e-04
3.362202759e+02,4.005718802e-04
3.363292542e+02,2.295767772e-04
3.364382019e+02,1.155800273e-04
3.365471802e+02,-9.341399709e-05
3.366561584e+02,7.235626690e-04
3.367651672e+02,-4.164047714e-04
3.368741455e+02,-7.963938988e-04
3.369831543e+02,7.995604537e-04
3.370921631e+02,2.295767772e-04
3.372011719e+02,4.195713263e-04
3.373102112e+02,3.055745910e-04
3.374192200e+02,5.145686446e-04
3.375282593e+02,6.285653799e-04
3.376372986e+02,-5.541508290e-05
3.377463379e+02,-1.694118255e-04
3.378554077e+02,-1.594371046e-03
3.379644470e+02,-1.062386320e-03
3.380735168e+02,1.046553371e-03
3.381825867e+02,1.155800273e-04
3.382916565e+02,3.055745910e-04
3.384007568e+02,1.958527369e-03
3.385098267e+02,-5.304014776e-04
3.386189270e+02,1.345794881e-04
3.387280273e+02,3.435735125e-04
3.388371277e+02,8.565588505e-04
3.389462585e+02,-5.684004282e-04
3.390553894e+02,2.865751449e-04
3.391644897e+02,1.141550718e-03
3.392736206e+02,1.863530022e-03
3.393827820e+02,1.345794881e-04
3.394919128e+02,7.758111315e-05
3.396010742e+02,9.325566934e-04
3.397102356e+02,-1.124134506e-04
3.398193970e+02,1.915778557e-04
3.399285583e+02,1.155800273e-04
3.400377502e+02,-3.214074823e-04
3.401469116e+02,1.008554478e-03
3.402561035e+02,4.575702478e-04
3.403652954e+02,1.345794881e-04
3.404745178e+02,9.325566934e-04
3.405837097e+02,1.915778557e-04
3.406929321e+02,-8.533922955e-04
3.408021545e+02,-7.963938988e-04
3.409113770e+02,9.705555858e-04
3.410205994e+02,-1.366377575e-03
3.411298523e+02,1.915778557e-04
3.412390747e+02,6.855637184e-04
3.413483276e+02,1.559538767e-03
3.414576111e+02,3.958220259e-05
3.415668640e+02,8.565588505e-04
3.416761169e+02,-7.203960558e-04
3.417854004e+02,-1.884112862e-04
3.418946838e+02,-1.314129040e-04
3.420039673e+02,4.195713263e-04
3.421132812e+02,9.658057388e-05
3.422225647e+02,7.615615614e-04
3.423318787e+02,6.665642723e-04
3.424411926e+02,2.281518187e-03
3.425505066e+02,-4.354042176e-04
3.426598206e+02,4.005718802e-04
3.427691650e+02,7.758111315e-05
3.428785095e+02,1.084552379e-03
3.429878540e+02,1.084552379e-03
3.430971985e+02,7.615615614e-04
3.432065430e+02,1.345794881e-04
3.433159180e+02,1.103551826e-03
3.434252930e+02,1.293546404e-03
3.435346680e+02,8.375594043e-04
3.436440430e+02,-3.974052961e-04
3.437534180e+02,3.136493731e-03
3.438628235e+02,1.084552379e-03
3.439722290e+02,1.882529468e-03
3.440816345e+02,2.058274549e-05
3.441910400e+02,3.055745910e-04
3.443004456e+02,-2.454096393e-04
3.444098816e+02,2.053524600e-03
3.445193176e+02,7.615615614e-04
3.446287537e+02,1.255547395e-03
3.447381897e+02,-5.684004282e-04
3.448476257e+02,-9.863884188e-04
3.449570923e+02,-2.264101931e-04
3.450665588e+02,1.008554478e-03
3.451760254e+02,4.575702478e-04
3.452854919e+02,-4.734031390e-04
3.453949585e+02,3.055745910e-04
3.455044556e+02,2.889500698e-03
3.456139526e+02,-2.644091146e-04
3.457234497e+02,2.865751449e-04
3.458329468e+02,-1.005387981e-03
3.459424438e+02,7.425621152e-04
3.460519714e+02,6.855637184e-04
3.461614990e+02,-3.024080361e-04
3.462710266e+02,4.195713263e-04
3.463805542e+02,1.559538767e-03
3.464900818e+02,-2.644091146e-04
3.465996399e+02,-7.583950064e-04
3.467091980e+02,1.535789488e-04
3.468187561e+02,4.955691402e-04
3.469283142e+02,-7.441453636e-05
3.470379028e+02,-5.494009820e-04
3.471474609e+02,-5.304014776e-04
3.472570496e+02,4.195713263e-04
3.473666382e+02,2.675756987e-04
3.474762268e+02,-3.214074823e-04
3.475858459e+02,6.095659337e-04
3.476954346e+02,4.955691402e-04
3.478050537e+02,6.475648261e-04
3.479146729e+02,1.217548503e-03
3.480242920e+02,1.915778557e-04
3.481339417e+02,2.295767772e-04
3.482435608e+02,-3.404069284e-04
3.483532104e+02,2.865751449e-04
3.484628601e+02,3.055745910e-04
3.485725098e+02,2.485762234e-04
3.486821899e+02,-2.264101931e-04
3.487918396e+02,3.958220259e-05
3.489015198e+02,9.658057388e-05
3.490112000e+02,9.325566934e-04
3.491208801e+02,5.145686446e-04
3.492305908e+02,1.578538213e-03
3.493402710e+02,-4.164047714e-04
3.494499817e+02,4.195713263e-04
3.495596924e+02,-4.354042176e-04
3.496694031e+02,4.195713263e-04
3.497791443e+02,4.575702478e-04
3.498888550e+02,1.103551826e-03
3.499985962e+02,-3.974052961e-04
3.501083374e+02,1.141550718e-03
3.502180786e+02,1.217548503e-03
3.503278503e+02,-1.233381452e-03
3.504375916e+02,9.895550320e-04
3.505473633e+02,2.675756987e-04
3.506571350e+02,4.195713263e-04
3.507669067e+02,2.865751449e-04
3.508767090e+02,9.325566934e-04
3.509864807e+02,3.958220259e-05
3.510962830e+02,-1.423376030e-03
3.512060852e+02,3.435735125e-04
3.513158875e+02,3.958220259e-05
3.514256897e+02,1.255547395e-03
3.515355225e+02,-2.074107324e-04
3.516453552e+02,1.915778557e-04
3.517551880e+02,4.195713263e-04
3.518650208e+02,-4.354042176e-04
3.519748535e+02,7.045632228e-04
3.520847168e+02,1.958527369e-03
